id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,start_date_local,average_speed,max_speed,average_heartrate,max_heartrate,elev_high,elev_low,description,calories
14586640307,Morning Ride,Ride,50.44,01h 58m,02h 25m,405.0,2025-05-25T06:58:45Z,25.55,50.34,118.2,160.0,789.2,694.2,,
14578792730,Lunch Inline Skate,InlineSkate,3.68,00h 32m,00h 50m,2.6,2025-05-24T12:34:55Z,6.84,16.99,94.1,111.0,714.2,711.2,,
14571450927,Puertos: Morcuera y Canencia,Ride,162.88,06h 52m,07h 34m,2224.0,2025-05-23T10:37:14Z,23.67,62.06,140.9,180.0,1764.4,700.6,,
14550171892,Afternoon Ride,Ride,44.55,01h 40m,01h 46m,406.0,2025-05-21T13:10:13Z,26.67,79.25,133.5,180.0,745.8,633.6,,
14543063149,Afternoon HIIT,Workout,0.0,01h 03m,01h 03m,0,2025-05-20T17:05:35Z,0.0,0.0,95.0,126.0,0.0,0.0,,
14517857839,Patines y Antonio con la bici,InlineSkate,8.2,00h 50m,01h 06m,68.6,2025-05-18T12:15:37Z,9.66,29.19,103.8,120.0,660.6,644.4,,
14515088386,Morning Ride,Ride,50.11,01h 59m,02h 32m,413.0,2025-05-18T07:00:09Z,25.09,45.65,125.5,164.0,790.6,697.6,,
14504741149,Kutxu con Kike,Ride,50.13,01h 48m,02h 20m,407.0,2025-05-17T06:58:44Z,27.66,49.75,133.9,167.0,788.4,694.8,,
14497881761,Soto,Ride,84.82,03h 02m,03h 52m,728.0,2025-05-16T10:37:05Z,27.9,56.52,138.4,182.0,958.4,701.8,,
14485617093,Morning Ride,Ride,50.09,01h 56m,02h 07m,422.0,2025-05-15T06:59:03Z,25.69,51.89,127.9,159.0,795.8,690.6,,
14477167337,Afternoon HIIT,Workout,0.0,01h 01m,01h 01m,0,2025-05-14T13:09:19Z,0.0,0.0,121.6,149.0,0.0,0.0,,
14466247398,Lunch Ride,Ride,41.72,01h 41m,01h 51m,323.0,2025-05-13T12:42:13Z,24.67,47.4,118.8,152.0,782.2,695.0,,
14463987596,Evening HIIT,Workout,0.0,01h 02m,01h 02m,0,2025-05-12T18:46:11Z,0.0,0.0,99.8,179.0,0.0,0.0,,
14443149831,Soto,Ride,82.48,03h 10m,03h 45m,738.0,2025-05-11T06:58:36Z,25.95,51.77,134.7,177.0,961.6,687.2,,
14437555857,Afternoon HIIT,Workout,0.0,01h 02m,01h 02m,0,2025-05-10T16:40:17Z,0.0,0.0,119.0,146.0,0.0,0.0,,
14425098362,Lunch Ride,Ride,49.96,02h 06m,02h 17m,419.0,2025-05-09T12:18:05Z,23.78,46.44,124.7,165.0,800.6,687.0,,
14423365410,Afternoon HIIT,Workout,0.0,00h 53m,00h 53m,0,2025-05-08T13:21:02Z,0.0,0.0,143.9,183.0,0.0,0.0,,
14405047914,Afternoon Ride,Ride,41.84,01h 40m,01h 55m,332.0,2025-05-07T13:20:00Z,25.06,49.68,125.0,174.0,784.0,694.8,,
14396512058,Afternoon HIIT,Workout,0.0,00h 57m,00h 57m,0,2025-05-06T17:59:17Z,0.0,0.0,108.3,168.0,0.0,0.0,,
14387236430,Evening Walk,Walk,4.46,00h 49m,00h 50m,41.6,2025-05-05T19:07:50Z,5.44,11.09,70.7,89.0,723.5,693.9,,
14371153013,Misión abortada,Ride,22.84,01h 04m,01h 17m,150.0,2025-05-04T06:55:44Z,21.18,36.07,104.0,144.0,758.0,696.8,,
14363403635,Lunch Inline Skate,InlineSkate,9.24,00h 56m,01h 18m,99.0,2025-05-03T11:59:24Z,9.76,25.78,88.4,109.0,660.6,639.0,,
14355374693,Paseos con el enano,Walk,5.9,01h 14m,01h 21m,57.9,2025-05-02T15:58:52Z,4.74,12.12,94.2,112.0,709.0,678.1,,
14341613916,Morning HIIT,Workout,0.0,01h 00m,01h 00m,0,2025-05-01T10:53:59Z,0.0,0.0,123.5,155.0,0.0,0.0,,
14331887708,"Colmenar, Bustarviejo, Cerceda, Hoyo y yo que se",Ride,164.11,06h 57m,07h 49m,1897.5,2025-04-30T05:48:01Z,23.57,59.28,136.9,177.0,1276.0,693.9,,
14321511664,Lunch Ride,Ride,41.9,01h 36m,01h 45m,328.0,2025-04-29T12:42:19Z,26.06,51.12,124.3,174.0,789.6,695.2,,
14262331442,Soto,Ride,84.56,03h 12m,03h 25m,730.0,2025-04-23T11:55:39Z,26.36,46.94,135.8,171.0,966.2,695.8,,
14251583787,Lunch Ride,Ride,44.75,01h 43m,01h 53m,415.0,2025-04-22T12:53:20Z,25.97,59.97,127.2,167.0,739.4,631.0,,
14242579068,Colmenar,Ride,63.05,02h 23m,02h 35m,613.0,2025-04-21T13:20:39Z,26.31,49.97,133.8,176.0,965.2,693.4,,
14234810621,Afternoon Inline Skate,InlineSkate,6.8,00h 35m,00h 37m,0.0,2025-04-20T17:58:36Z,11.37,19.94,106.7,117.0,711.9,709.3,,
14225665133,Evening Walk,Walk,4.75,00h 58m,01h 00m,34.4,2025-04-19T18:40:50Z,4.83,6.05,93.9,115.0,1137.0,1107.9,,
14220508178,Morning Walk,Walk,3.0,00h 36m,00h 51m,22.5,2025-04-19T10:46:38Z,4.9,41.61,62.8,99.0,1122.6,1108.5,,
14204089274,Afternoon Ride,Ride,50.04,02h 02m,02h 09m,439.0,2025-04-17T14:29:19Z,24.53,47.04,127.0,154.0,799.2,696.6,,
14201513956,Morning Inline Skate,InlineSkate,5.74,00h 43m,00h 54m,7.6,2025-04-17T10:48:10Z,7.85,17.35,91.1,107.0,719.5,709.2,,
14193842656,Morcuera,Ride,116.42,05h 07m,05h 36m,1664.0,2025-04-16T09:29:46Z,22.73,60.77,138.0,186.0,1803.4,693.6,,
14183539717,Lunch Ride,Ride,0.0,01h 12m,01h 12m,0,2025-04-15T12:49:23Z,0.0,0.0,105.5,130.0,0.0,0.0,,
14176345298,Evening HIIT,Workout,0.0,01h 03m,01h 03m,0,2025-04-14T18:00:14Z,0.0,0.0,117.0,166.0,0.0,0.0,,
14162072239,Colmenar,Ride,65.45,02h 26m,03h 02m,630.0,2025-04-13T07:03:16Z,26.82,58.03,141.9,180.0,933.8,692.0,,
14152945896,Morning Inline Skate,InlineSkate,5.67,00h 50m,00h 58m,2.6,2025-04-12T10:28:40Z,6.7,18.43,103.6,116.0,715.1,711.4,,
14147314673,Afternoon HIIT,Workout,0.0,01h 10m,01h 10m,0,2025-04-11T17:11:44Z,0.0,0.0,111.3,150.0,0.0,0.0,,
14136244717,Lunch Ride,Ride,44.8,01h 45m,01h 54m,415.0,2025-04-10T12:56:53Z,25.57,73.95,124.5,164.0,741.0,630.4,,
14126439815,"Kutxu, coca-cola y a casa arreando",Ride,49.8,01h 47m,02h 08m,410.0,2025-04-09T12:47:02Z,27.81,56.66,145.0,190.0,798.0,694.6,,
14120998043,Night Ride,Ride,41.89,01h 40m,01h 46m,311.0,2025-04-08T21:42:39Z,25.09,47.09,125.4,153.0,776.8,698.0,,
14110640507,Night Ride,Ride,41.85,01h 41m,01h 47m,320.0,2025-04-07T21:38:03Z,24.75,48.82,119.6,150.0,782.2,690.4,,
14077027299,Lunch Ride,Ride,33.79,01h 26m,01h 31m,348.0,2025-04-04T12:00:35Z,23.4,72.86,119.2,153.0,736.0,625.2,,
14067726639,Afternoon HIIT,Workout,0.0,01h 16m,01h 16m,0,2025-04-03T13:14:20Z,0.0,0.0,103.2,162.0,0.0,0.0,,
14055094672,Morning Ride,Ride,33.15,01h 20m,01h 24m,221.0,2025-04-02T05:36:05Z,24.79,38.02,117.2,148.0,726.6,700.4,,
14044831832,Morning Ride,Ride,29.08,01h 11m,01h 13m,199.0,2025-04-01T05:43:47Z,24.35,40.82,117.3,144.0,723.4,693.8,,
14037960168,Lunch Ride,Ride,33.86,01h 16m,01h 23m,315.0,2025-03-31T12:55:28Z,26.5,73.95,134.8,175.0,740.8,632.0,,
14027297276,Morning HIIT,Workout,0.0,00h 57m,00h 57m,0,2025-03-30T10:44:33Z,0.0,0.0,97.5,128.0,0.0,0.0,,
14011630246,"Colmenar, San Agustín, Sterrato y vuelta por Soto",Ride,121.93,05h 04m,06h 15m,1449.0,2025-03-28T09:38:43Z,24.02,59.47,133.8,172.0,1007.8,646.4,,
14002084168,Lunch Ride,Ride,44.88,01h 41m,01h 48m,429.0,2025-03-27T12:59:26Z,26.48,66.19,126.0,159.0,745.2,630.6,,
13992079023,Afternoon HIIT,Workout,0.0,00h 50m,00h 50m,0,2025-03-26T13:07:09Z,0.0,0.0,107.7,134.0,0.0,0.0,,
13982416733,Afternoon Ride,Ride,33.86,01h 15m,01h 24m,323.0,2025-03-25T13:13:41Z,26.79,61.19,143.4,181.0,740.0,629.6,,
13976887365,Night Walk,Walk,4.43,00h 48m,00h 48m,41.1,2025-03-24T21:40:12Z,5.51,10.22,63.9,91.0,723.5,694.1,,
13960564234,Morning Ride,Ride,42.55,01h 43m,02h 03m,341.0,2025-03-23T07:00:19Z,24.67,47.52,127.8,170.0,776.6,698.4,,
13951744150,Morning Ride,Ride,0.0,01h 00m,01h 00m,0,2025-03-22T09:43:08Z,0.0,0.0,115.9,162.0,0.0,0.0,,
